model,auc_random,auc_spatial,leakage_gap,ap_spatial,brier_spatial,auc_spatial_std
logistic,0.728982389136972,0.7265506291038483,0.002431760033123731,0.6112531271008856,0.20763538360249711,0.009173342084371755
gradient_boosting,0.7760181936273259,0.7582638168996199,0.017754376727706078,0.651036483545343,0.19879597522757833,0.006907545996790222
