sdist,state,n_women,hygienic_rate,ctx_temp_hot3_mean,ctx_heat_days_12mo,ctx_Aridity_2015,ctx_v113,ctx_v116,ctx_v190,predicted_rate,raw_need_rank,adjusted_gap,adjusted_need_rank,underperforming,state_name,district_name
820,18,382,0.06749781753849304,28.272092307597298,56.92047344247491,70.34480249024138,21.697365550073876,25.400210464643507,1.6572092777227483,0.2314918871355347,1,-0.16399406959704166,128,True,assam,south salmara mancachar
462,23,453,0.0694220291424798,32.569258887047624,6.429363378213232,17.391189860508156,24.342934826018162,25.684930150245552,1.8864376089474582,0.27858018763676834,2,-0.20915815849428854,58,True,madhya pradesh,sidhi
317,18,415,0.07596568754269804,28.325510880485815,69.47320409926576,88.65927188351536,30.850362118853322,35.40502885904487,1.7837352112602654,0.24859061776190203,3,-0.172624930219204,107,True,assam,karimganj
204,10,473,0.07770502696498043,29.745151619212933,66.24593437696774,30.12906346953426,27.038748301155383,26.042600481411363,1.9739518398990952,0.2184050448024774,4,-0.14070001783749697,189,True,bihar,purba champaran
858,24,294,0.0837736547189275,32.626124126182305,38.692462633249384,13.61048301739816,23.88655524478803,27.366686886565347,2.302117227799019,0.3007063774105486,5,-0.21693272269162112,48,True,gujarat,mahisagar
170,9,435,0.0842333855031552,33.568120506841225,5.9893337241625835,14.377482037801837,21.902749366225116,26.035143629538222,1.9629896729909557,0.24740108766203256,6,-0.16316770215887735,129,True,uttar pradesh,banda
485,24,443,0.09076142565813014,31.903050133657747,41.41829485028085,14.65410492973814,22.435861371695008,26.1236077707038,1.7902267316722336,0.2733350473898565,7,-0.18257362173172634,94,True,gujarat,dohad
316,18,379,0.09753562200177048,28.265728658724804,56.35692308441252,79.2983707067428,37.11496440402329,33.71301525131392,1.8865671790511078,0.3018225384246182,8,-0.20428691642284774,61,True,assam,cachar
217,10,494,0.10294333188109668,30.135537557557857,66.0110906123153,27.41169995342716,24.203841177631162,21.86219962529885,2.262603039023265,0.26025324374490205,9,-0.15730991186380539,143,True,bihar,gopalganj
872,17,500,0.10407142693788833,23.319261604758392,58.99161787211769,105.91621361789223,31.99790392275232,15.299367808937724,2.15989285497435,0.4011479342403925,10,-0.2970765073025042,12,True,meghalaya,east jantia hills
155,9,511,0.10560204115839551,31.996913981958922,,15.155821309238261,22.847013637918305,26.08826694699861,1.9702339590504556,0.2048351924212191,11,-0.09923315126282357,300,True,uttar pradesh,hardoi
218,10,528,0.10618038469797221,30.565507371547575,65.14288612138348,24.44704996966618,24.954782852707062,26.1131024187505,2.306706476195234,0.24213590805309884,12,-0.13595552335512662,201,True,bihar,siwan
320,18,370,0.10629758999880373,28.149604111092255,57.22443609098236,70.19981477084669,24.528200621801673,29.043770618684313,1.8523422274649617,0.28285042724642806,13,-0.17655283724762433,101,True,assam,chirang
877,17,420,0.10911540682752571,22.27465203162167,49.94123116878226,101.94070100635501,30.657588089570503,16.546646513563637,2.0442351879148375,0.3590124320616359,14,-0.2498970252341102,25,True,meghalaya,west jaintia hills
261,13,273,0.10950366090453291,24.160281154519765,,60.85184002119406,22.007956077022754,16.832169130244704,1.642235337673642,0.455267309079193,15,-0.3457636481746601,3,True,nagaland,mon
182,9,500,0.11299214783204053,30.4201584862505,58.15368530735005,26.734265991384095,23.282524940711813,30.010695678315237,2.072619528180649,0.2003494702109281,16,-0.08735732237888758,358,True,uttar pradesh,balrampur
453,23,369,0.1137001567066222,30.20539995391138,9.241896033735403,21.554688024006065,27.912266968008062,25.578767974739943,1.5501278372277518,0.3148754453932863,17,-0.20117528868666412,65,True,madhya pradesh,dindori
922,9,470,0.11409989120619324,31.99193203388034,48.410305011167004,15.829914677084668,22.812130626177122,22.19719103717492,2.4976028788568216,0.24038748010617533,18,-0.1262875888999821,235,True,uttar pradesh,budaun
852,24,325,0.11417467855051112,32.25187964868112,46.05293724597609,14.662739614990757,21.744037640495865,22.59666921868845,2.2636184427884416,0.2594583636852524,19,-0.14528368513474127,176,True,gujarat,chhota udaipur
181,9,457,0.11615378903501579,30.775051688992317,53.60097081470033,25.574150246146306,23.134763784602246,26.883976728732943,1.928245877953534,0.20709727771203051,20,-0.09094348867701472,339,True,uttar pradesh,shrawasti
171,9,483,0.11776337531702886,33.40616805853271,6.0,14.07493613156226,22.572557319894315,27.465299606979492,2.0003075326378736,0.24085702634600567,21,-0.1230936510289768,238,True,uttar pradesh,chitrakoot
7,1,348,0.11818103135925866,28.2577314882032,40.43443802656341,34.114744685698604,17.080297601331328,16.894272346266746,3.7599837850989113,0.625538089098671,22,-0.5073570577394124,1,True,jammu & kashmir,kathua
878,17,442,0.1190042852038441,22.1996890667542,63.861347053736516,108.0490469477855,22.943947903360492,15.135405843198589,1.7569545402230013,0.3737901365292926,23,-0.2547858513254485,23,True,meghalaya,west khasi hills
172,9,482,0.11930770515150682,33.04035114338971,50.97034205634513,13.29855537119131,20.547702746710467,22.438642889908174,2.1042874354703476,0.2557673923806354,24,-0.13645968722912857,198,True,uttar pradesh,fatehpur
160,9,549,0.11983455638203593,32.891579095812894,39.94183523222132,13.472376648512132,22.687619849512227,23.83746486636436,2.4048554792426673,0.28542035059580284,25,-0.1655857942137669,125,True,uttar pradesh,kannauj
454,23,314,0.12053647274624382,31.696756414632265,9.824026389099103,25.27098420971818,23.165232234705147,21.85359833859594,2.019658242800944,0.3370458063426356,26,-0.21650933359639177,50,True,madhya pradesh,mandla
203,10,471,0.12115204490348074,29.752015166053305,68.97793103441187,36.06121307011125,27.347288565858577,27.378353007949404,1.9584838857004638,0.2136095528366473,27,-0.09245750793316655,331,True,bihar,pashchim champaran
209,10,474,0.12856154530530065,28.724910194561524,47.75866559819482,45.64590670428287,27.995812654524794,30.562944170177825,1.6331884011155533,0.2742887161993848,28,-0.14572717089408413,173,True,bihar,araria
180,9,468,0.12916889572486864,31.089035133911324,51.444784668324836,23.317451915759833,26.49919646108019,29.31622495642259,1.8792777110713634,0.21030450457572913,29,-0.08113560885086049,379,True,uttar pradesh,bahraich
